RES_ID,rs,NUM_MAR,Age,LAND_DECIMAL,AN_INCOME
1D97004103,2,2,51,7.5,12000
1V72001602,5,1,51,5,16000
1V00078908,4,1,51,30,20000
1V3203304V,6,1,51,240,30000
1V64000204,4,1,51,3,36000
1V35004703,5,1,51,18,48000
1D02012103,5,1,51,3,48000
2V20005444,2,1,51,120,64000
1V63014905,4,1,51,49,72000
1V72041040,5,1,51,72,76000
1V24034805,4,1,51,135,99000
1V31060503,1,1,51,20,120000
1V40000402,4,1,51,275,172000
1D90033640,8,1,52,127.5,3600
2V82001305,6,1,52,47,5792
2V11012205,4,1,52,21,7000
1V41003502,11,2,52,35,8000
1T00002740,6,1,52,13,10000
1C00004003,7,1,52,12,10000
2V03000711,6,1,52,50,10000
2D93006410,5,1,52,6,12000
1V36023140,4,3,52,250,12000
1V83005541,6,1,52,278,12000
2W00084602,3,1,52,6,12000
1U00070640,8,2,52,10,15000
1V49006403,4,1,52,112,15000
1B00003502,2,1,52,49,16000
2V76010911,12,2,52,12,17000
2V72024611,4,1,52,26,20000
2V11025204,4,1,52,1018,20000
4V49012706,9,1,52,6,24000
2VBB013305,6,1,52,5,24400
2D97012402,5,1,52,388.5,25000
2V05007407,7,1,52,22.5,30000
1G00022204,4,1,52,78,30000
2V35003909,4,1,52,3,36000
1V09009507,7,1,52,0,36000
1VBA009804,3,1,52,120,36000
1VBB039707,4,1,52,5,37000
3V36012203,2,1,52,9,39600
2V17015006,4,1,52,12,40000
1V80008304,7,1,52,102,40000
1V35023541,4,1,52,130,42000
2V34001608,6,1,52,0,48000
2V61004311,7,1,52,5,48000
1V60004540,4,1,52,174,48000
4V36139802,13,2,52,8,48000
1VB3020443,7,1,52,9,48000
1U00039442,5,1,52,18.5,48000
4V75004606,7,1,52,366,50000
1V00095245,6,1,52,22,50000
4V30008013,6,1,52,370,50000
1V24016003,4,1,52,249,54000
1V84026841,4,1,52,42,56000
1V35020340,4,1,52,40,58000
2V41009906,5,2,52,495,58000
1V36008703,5,1,52,20,60000
1D90011710,5,1,52,45,60000
2V56000808,8,1,52,54,60000
2VBC069407,4,1,52,10,60000
1V19026203,3,1,52,36,60000
2V10003930,6,2,52,149,63000
1V64005604,3,2,52,90,66000
1V36033103,5,1,52,16,68000
1U00026403,7,1,52,130,72000
2V16004211,3,1,52,23,72000
4V36089007,4,1,52,147,80000
4G00022208,3,1,52,62,82000
1V05025107,4,1,52,3,84000
1A00016605,5,2,52,43,84000
1V50009205,3,1,52,600,84000
1V80002302,7,1,52,5,85000
2VBC033808,6,1,52,0,96000
4VBB075211,9,1,52,2,105000
2D90065706,5,1,52,3,106000
1T00013507,4,1,52,130,108000
1VBC007402,5,1,52,250,117000
1V20013108,5,1,52,42,120000
1V18000204,4,2,52,30,120000
3V36078804,6,1,52,840,120000
1VB3005141,4,1,52,0,120000
1V18035802,5,1,52,2,121000
1W00028204,3,1,52,50,130000
1V18001503,4,1,52,42,145000
2V64011123,1,1,52,185,146000
2V66011508,6,1,52,24,154500
2V90003809,5,1,52,496,156000
2V18030027,3,1,52,12,180000
1V41012307,5,1,52,36,216000
2V36067215,5,1,52,607,282000
2V72065205,4,1,52,144,360000
2D90057105,4,1,52,255,375000
1V45010804,4,1,53,43,15000
1V61002003,2,2,53,0,20000
1V05026503,5,1,53,19.5,26000
1V72037503,6,2,53,2,30000
1A00001309,7,1,53,84,30000
1V63019805,1,2,53,7,36000
1D98024904,4,1,53,33,38800
1V96003807,5,1,53,12,42000
1V3602440,4,1,53,506,346000
1V56014505,4,1,54,12.5,7000
2V64066811,5,1,54,4,12000
1V41003502,4,1,54,35,14000
1DX0029202,3,1,54,368,20000
2D35006210,5,1,54,260,30000
2B00031507,2,2,54,4.5,36000
1V34000102,5,1,54,10,40000
4V31247902,6,1,54,42,45000
1V31070440,7,2,54,33,46000
1V18031004,3,1,54,3,58000
1V26016542,3,1,54,5,60500
1P00002105,4,1,54,5,72000
1V68005203,4,2,54,11,72000
1V31105107,5,1,54,69,72000
1N00018141,6,1,54,126,72000
2V22004607,4,1,54,370,73000
1V31045604,6,1,54,70,75000
1V13000340,3,1,54,121,80000
1V31094444,5,1,54,30,128160
2V36036613,7,1,55,33,2000
2V56013730,7,1,55,57,5000
1V47010640,3,1,55,363,5000
2V90002113,4,1,55,150,10000
4V27020402,4,1,55,246,10000
3DX1001107,5,1,55,260,10000
1V72021502,6,1,55,36,13000
4V28017305,6,1,55,132,14000
1V34000102,5,1,55,10,20000
1V08009443,6,1,55,850,20000
1V99003806,6,1,55,6,30000
1V16006605,6,1,55,50,35000
2VB6002012,6,1,55,6,36000
1V53038740,3,1,55,52.5,48000
2V39000710,10,1,55,280,68000
1V36019004,4,1,55,130,72000
1V68008340,4,1,55,10,72000
1V76017540,7,1,55,285,75000
2V36066908,6,1,55,367,84000
1V58014610,6,2,55,402,89000
2V19039308,6,1,55,5,108000
1V26011502,7,1,56,160,5000
2D97012402,7,1,56,0,12000
4D96018612,3,1,56,0,12000
1H00011209,4,1,56,16,22000
2DX1011612,5,1,56,19,24000
1V79001912,4,1,56,5,30000
2V00046008,8,1,56,128,32000
1V05044606,7,1,56,3,38400
1V59006602,7,1,56,97,53000
1U00067809,6,2,56,31.5,58000
1D31000309,8,1,56,10,60000
1V20009802,6,1,56,12,72000
1D98039605,4,1,56,210,90000
1V31040202,4,1,57,240,3000
1VB3004205,1,4,57,6,5000
1G00024903,6,1,57,27,5000
1V36043902,2,1,57,37,5000
2U00117205,4,1,57,1.5,10000
1V89016340,3,2,57,66,10000
1V48003203,6,2,57,126,12000
2U00068809,6,1,57,24,15000
1U00063913,6,1,57,27,15000
1V57011605,4,1,57,33,15000
3V49011018,5,2,57,78,18000
1V24013402,6,1,57,31,20000
1V41000506,6,1,57,82,25000
4V36097111,6,1,57,13.5,30000
3V64070610,5,1,57,258,30000
1V45003841,5,1,57,315,30000
4V31232302,4,1,57,18,34000
1D88014242,5,1,57,0,36000
1VB9001704,3,1,57,3,36000
1V36007512,6,1,57,480,36000
1VB4011105,4,1,57,20,36000
2V83003407,5,1,57,4,40000
3V74009004,9,1,57,320,42000
3D34014808,7,1,57,250,50000
1V48001303,4,1,57,80,50000
1V55006010,4,2,57,0,52000
1V82013541,4,1,57,60,53000
1A00012402,5,1,57,6,60000
1V99003616,4,1,57,6,60000
3V32032608,10,2,57,5,60000
4V12014404,6,1,57,63,64000
1V26016803,5,4,57,2,75600
2T00000827,7,1,57,16,80000
1VB3019902,7,1,57,3,84000
1V11010206,4,1,57,118,84000
3VBC069812,8,1,57,123,92000
1V18001702,5,1,57,40,104000
2V56017904,6,1,57,120,120000
1V70007906,2,1,57,13.5,120000
1V63023003,4,1,57,290,125000
1U00018510,7,1,57,18,130000
1H00009603,2,1,57,22,134000
1V11005342,3,1,57,89,140000
2V24024029,8,1,57,24,270000
1V62006105,3,1,57,51,360000
1V27010443,5,2,57,77,615000
