resId,age,noChildren,noSurvived15,totalLand,arableLand,landClass,cows,bulls,sheep,pigs,horses,otherLivestock,Nwives
685,80,4,4,2.8,0.5,5-6,1,0,0,1,0,0,1
915,79,10,9,2.9,0.9,5,0,0,0,0,0,0,1
403,63,4,4,2.99,1,4-5,3,0,0,1,0,0,1
1456,53,2,2,3,0,4-6,1,0,0,0,0,0,1
717,53,6,6,3,0,4,1,0,0,0,0,0,1
699,55,3,3,3,1,5,0,0,0,0,0,0,1
545,57,9,9,3,0.5,4,0,0,0,0,0,0,1
537,60,10,10,3,1.5,5,0,0,0,0,0,0,1
782,60,4,4,3,1,4-5,1,0,0,2,0,0,1
881,61,8,5,3,1.5,3-4,6,0,0,0,0,0,1
1264,61,1,1,3,1,4-5,2,1,1,0,0,0,1
296,62,5,5,3,1,4-5,4,0,0,0,0,0,1
487,62,5,5,3,1,5-6,2,1,0,0,0,0,1
1846,62,5,5,3,2,5-6,0,0,0,0,0,0,1
1349,64,6,6,3,2,4-5,0,0,0,0,0,20,1
1348,64,4,4,3,2,4-5,0,0,0,0,0,20,1
392,64,3,3,3,2.5,5-6,1,0,0,0,0,0,1
157,64,5,5,3,1.5,5,2,0,0,2,0,0,1
1856,65,4,4,3,1,4-5,2,0,0,0,0,0,1
357,66,10,10,3,0,4-5,0,0,0,0,0,0,1
1316,69,2,2,3,0,4-5,0,0,0,0,0,0,1
398,69,3,3,3,2,5,1,0,0,0,0,0,1
535,69,7,7,3,1,4,1,0,5,1,2,0,1
705,69,5,5,3,2,5,0,0,10,0,0,0,1
1883,69,4,4,3,2.7,4-5,0,0,0,0,0,0,1
615,70,6,5,3,0,4-5,0,0,0,0,0,0,1
1816,70,3,3,3,1,5-6,0,0,0,0,0,0,1
1694,71,5,5,3,1.5,4-6,3,0,0,0,0,0,1
1332,74,3,3,3,0,0,0,0,0,0,0,0,1
1034,77,4,4,3,3,4-5,0,0,0,0,12,0,1
1271,80,3,3,3,1,5-6,1,0,0,0,0,1,1
297,55,4,4,3.06,0,6,0,0,0,0,0,0,1
79,60,4,4,3.08,1.4,0,2,0,0,2,0,0,1
340,68,4,4,3.08,2,4-5,0,0,0,0,0,0,1
289,60,3,3,3.1,3,4,2,0,0,0,0,0,1
1642,76,7,7,3.2,0,4-5,0,0,0,0,0,0,1
363,63,12,12,3.25,3.25,4-5,0,0,0,0,0,0,1
679,72,6,6,3.25,1.5,3-5,2,0,0,0,0,0,1
130,74,3,3,3.25,0,5,0,0,0,0,0,0,1
385,79,1,1,3.27,1,4,0,0,0,0,0,0,1
1788,79,8,8,3.27,0,6,0,0,0,0,0,0,1
1217,60,3,3,3.31,0.75,4-5,4,0,0,0,0,0,1
1790,59,9,8,3.32,0,3-4,0,0,0,0,0,0,1
1792,74,3,3,3.39,1.8,4,0,0,0,0,0,0,1
52,66,8,6,3.45,0,0,1,0,0,0,1,0,1
5,59,7,7,3.5,0,0,0,0,0,0,0,0,1
376,67,1,1,3.5,0,4-5,1,0,0,0,0,0,1
1335,68,3,3,3.5,0.5,4-5,1,0,0,0,0,0,1
1926,71,4,4,3.5,2,4-5,2,0,0,1,1,0,1
1938,74,4,4,3.5,2.5,4-5,1,0,0,0,0,0,1
1155,61,2,2,3.55,0,4,0,0,0,0,0,0,1
1481,71,6,6,3.6,1.5,5-6,0,0,0,0,0,0,1
