ID,Age,Wives,WealthRatio,rs
400198,47,1,2.74,0
400462,47,1,4.18,0
401910,47,1,10.21,0
403460,47,1,87.2,4
403996,47,1,85.91065292,0
7576,48,0,86.79,0
8297,48,1,0.01,1
8338,48,1,0.01,7
10062,48,2,22.2,5
12143,48,1,0.23,3
15558,48,1,0.01,3
16355,48,0,32.96,0
16750,48,1,290.69,0
18380,48,2,18.6,0
18393,48,1,0.01,11
21307,48,1,0.01,2
21331,48,1,0.07,1
21787,48,1,0.01,1
21864,48,1,0.01,4
24198,48,1,0.01,6
25698,48,2,0.01,0
26115,48,1,43.75,10
27982,48,1,0.017182131,4
28958,48,1,81.39,0
39459,48,1,0.03,4
106020,48,1,2.22,2
109892,48,1,0.01,5
400775,48,1,0.72,1
401181,48,1,0.01,0
403100,48,1,0.01,0
403301,48,1,0.01,0
7398,49,1,58.18,5
7479,49,1,0.24,2
7877,49,1,0.01,5
9751,49,1,2.9,0
11224,49,1,3.43,6
11692,49,1,0.01,3
12157,49,0,0.87,0
12229,49,1,0.79,4
13547,49,2,0.01,2
14885,49,0,0.01,0
15301,49,0,0.67,0
15955,49,0,0.06,0
17289,49,1,0.01,9
17291,49,1,0.35,10
18215,49,1,0.01,7
18520,49,0,0.01,0
18930,49,1,232.55,0
18969,49,1,0.01,0
19337,49,1,20.61,2
19713,49,1,13.74,1
20009,49,1,0.01,3
20107,49,1,0.01,4
21536,49,0,0.01,0
22181,49,0,0.009242144,0
22401,49,1,0.01,0
22782,49,0,0.01,0
23272,49,2,0.01,0
24426,49,2,0.01,4
27169,49,1,0.28,5
27276,49,1,0.01,1
28048,49,1,0.01,0
28823,49,0,0.009242144,0
28933,49,0,412.37,0
29466,49,1,0.01,1
100310,49,1,24.05,4
100373,49,0,0.01,0
103177,49,0,0.01,0
103841,49,1,0.87,0
400121,49,1,17.44,0
400902,49,1,0.01,0
401230,49,1,0.01,0
7957,50,1,0.01,3
8139,50,1,0.01,3
11044,50,2,2.32,0
12860,50,1,0.01,2
13695,50,1,0.009242144,10
18128,50,1,0.009242144,4
18333,50,0,0.009242144,0
19995,50,1,0.01,3
20109,50,0,1.03,0
21123,50,1,0.01,7
21131,50,1,0.009242144,2
21285,50,1,1.74,0
21856,50,2,0.01,0
22738,50,2,0.01,1
