id,grasen,AOD,Nmarr,evermarried,Nsur15,SES
105688,0,60,1,1,4,4
12512,0,61,1,1,4,4
111052,0,47,1,1,3,4
35739,0,58,1,1,6,4
107623,0,78,2,1,5,4
36062,0,67,2,1,4,4
6080,0,75,1,1,2,4
52786,0,78,1,1,3,4
22304,0,69,1,1,6,4
17022,0,65,3,1,6,4
39817,0,71,2,1,2,4
71742,0,72,2,1,4,4
17948,0,76,2,1,5,4
118530,0,55,1,1,3,4
111102,0,59,2,1,7,4
102736,0,70,1,1,7,4
36108,0,89,2,1,6,4
109234,0,71,1,1,6,4
58378,0,81,1,1,2,4
38371,0,30,1,1,1,4
101223,0,71,1,1,3,4
103110,0,71,5,1,2,4
64019,0,56,1,1,1,4
37972,0,76,1,1,2,4
14553,0,56,1,1,5,4
20524,0,50,1,1,4,4
40545,0,77,1,1,4,4
37807,0,61,1,1,4,4
37308,0,34,1,1,2,4
27681,0,85,1,1,12,4
103816,0,57,1,1,4,4
73599,0,44,3,1,8,4
35751,0,49,1,1,4,4
33880,0,81,3,1,8,4
29013,0,77,1,1,3,4
12701,0,79,1,1,2,4
27993,0,55,2,1,8,4
45269,0,49,1,1,0,4
34993,0,55,1,1,7,4
46602,0,72,1,1,4,4
28913,0,38,1,1,3,4
34340,0,79,1,1,3,4
41207,0,73,1,1,2,4
19417,0,42,1,1,2,4
18033,0,74,1,1,4,4
36276,0,58,1,1,3,4
20458,0,56,1,1,4,4
26971,0,74,1,1,5,4
14939,0,46,1,1,4,4
99922,0,65,1,1,5,4
5646,0,60,1,1,5,4
71180,0,54,2,1,3,4
114560,0,52,1,1,5,4
63819,0,71,1,1,7,4
36365,0,77,1,1,7,4
19131,0,56,1,1,3,4
53467,0,57,2,1,3,4
34992,0,68,1,1,4,4
16249,0,40,1,1,5,4
42384,0,79,2,1,4,4
19634,0,83,1,1,2,4
46962,0,60,1,1,5,4
17568,0,47,1,1,4,4
68139,0,47,1,1,1,4
44699,0,63,1,1,8,4
105924,0,77,1,1,0,4
112274,0,70,1,1,2,4
15961,0,82,1,1,1,4
27321,0,60,2,1,8,4
16220,0,66,1,1,4,4
19192,0,68,1,1,5,4
45872,0,59,1,1,1,4
5589,0,78,1,1,1,4
45879,0,73,1,1,0,4
43804,0,56,2,1,5,4
115971,0,76,1,1,8,4
73986,0,59,1,1,2,4
3562,0,64,1,1,2,4
117996,0,62,1,1,5,4
35534,0,63,1,1,4,4
71315,0,63,2,1,4,4
20113,0,58,1,1,6,4
104118,0,71,1,1,3,4
32313,0,50,1,1,3,4
54186,0,53,1,1,4,4
109989,0,47,1,1,7,4
23636,0,81,1,1,3,4
46964,0,62,1,1,5,4
41205,0,69,1,1,3,4
54552,0,72,1,1,3,4
77613,0,53,2,1,5,4
5590,0,76,1,1,0,4
115761,0,83,1,1,5,4
11938,0,82,2,1,2,4
71380,0,59,1,1,0,4
