Country,District,sumTested,sumPositive,ratioPositive,,Nation,,,p94st,State -1,2,3,4,5,6,7,8,9,Market -10,DK,,p13st,Democracy,DoesntMatter,Authoritarian,NA,DK,,p89n.a,DK,Less,Same,More,,p67st,1-Unable,2,3,4,5,6,7,8,9,10-Able,DK,NA,None,,p72st.a,Yes,No,NA,DK,,p64wvsst,1-Never,2,3,4,5,6,7,8,9,10-Always,DK,NA,,s19j,No,Yes,NA,,s19l,No,Yes,NA,,s19n,No,Yes,NA,,,,s11,Asian,Black,DK,Indigenous,Mestizo,Mulato,NA,Other,White,,s26,Very Good,Good,OK,Bad,Very Bad,,s6,DK,NA,No Religion/NA,NotDevoteAtAll,NotVeryDevote,Devote,VeryDevote,,rel,pw,dem,,s15Ed,0y,1y,2y,3y,4y,5y,6y,7y,8y,9y,10y,11y,12y,TechInc,TechCompOrUniIncomp,UniComp,,26stf,Completely guaranteed,Fairly guaranteed,A Little guaranteed,Not guaranteed at all,Dontknow/No answer
Paraguay,ParaguayCentraldepartment,192,16,0.083333333,,6,,,ParaguayCentraldepartment,180,34,62,62,140,26,21,12,4,6,44,,ParaguayCentraldepartment,307,92,184,0,8,,ParaguayCentraldepartment,15,145,285,146,,ParaguayCentraldepartment,53,37,56,101,194,62,32,10,3,10,29,3,1,,ParaguayCentraldepartment,225,363,0,3,,ParaguayCentraldepartment,212,36,41,33,109,28,26,20,7,39,36,4,,ParaguayCentraldepartment,55,534,2,,ParaguayCentraldepartment,487,99,5,,ParaguayCentraldepartment,6,582,3,,,,ParaguayCentraldepartment,3,1,154,12,173,11,6,35,196,,ParaguayCentraldepartment,25,208,292,57,9,,ParaguayCentraldepartment,0,0,17,40,251,223,60,,0.478849408,0.331641286,0.625254582,,ParaguayCentraldepartment,5,7,15,28,19,14,102,9,28,53,34,29,147,8,65,28,,,97,179,189,110,16
Peru,PeruAyacucho,312,14,0.044871795,,7,,,PeruAyacucho,7,7,2,4,8,1,1,0,0,0,5,,PeruAyacucho,11,7,10,0,7,,PeruAyacucho,6,7,16,6,,PeruAyacucho,1,1,6,5,10,4,3,2,0,3,0,0,0,,PeruAyacucho,12,23,0,0,,PeruAyacucho,11,3,1,6,9,4,1,0,0,0,0,0,,PeruAyacucho,4,31,0,,PeruAyacucho,11,24,0,,PeruAyacucho,6,29,0,,,,PeruAyacucho,0,0,3,10,17,0,0,1,4,,PeruAyacucho,0,6,14,8,7,,PeruAyacucho,0,0,1,3,16,11,4,,0.428571429,0.114285714,0.523809524,,PeruAyacucho,6,0,0,2,0,2,4,1,0,1,3,6,0,0,4,6,,,7,10,6,11,1
Peru,PeruCajamarca,732,109,0.148907104,,7,,,PeruCajamarca,10,4,6,6,8,12,4,3,1,1,5,,PeruCajamarca,19,14,12,3,12,,PeruCajamarca,6,15,35,4,,PeruCajamarca,2,3,6,11,17,4,3,3,0,4,7,0,0,,PeruCajamarca,13,47,0,0,,PeruCajamarca,10,4,3,3,18,2,2,3,0,2,13,0,,PeruCajamarca,7,52,1,,PeruCajamarca,28,32,0,,PeruCajamarca,12,48,0,,,,PeruCajamarca,0,2,11,1,41,4,0,0,1,,PeruCajamarca,0,2,23,25,10,,PeruCajamarca,0,0,3,5,26,24,2,,0.433333333,0.016666667,0.612903226,,PeruCajamarca,15,1,2,3,1,6,15,1,1,3,0,6,0,4,2,0,,,4,20,20,8,8
Peru,PeruLambayeque,182,6,0.032967033,,7,,,PeruLambayeque,7,4,8,6,11,5,4,2,1,1,6,,PeruLambayeque,34,11,4,2,4,,PeruLambayeque,4,20,24,7,,PeruLambayeque,9,1,8,8,13,3,3,2,1,5,1,1,0,,PeruLambayeque,17,35,1,2,,PeruLambayeque,14,3,1,1,11,6,5,5,1,5,2,1,,PeruLambayeque,10,45,0,,PeruLambayeque,15,40,0,,PeruLambayeque,3,52,0,,,,PeruLambayeque,1,3,4,2,38,2,0,0,5,,PeruLambayeque,0,5,28,20,2,,PeruLambayeque,0,0,1,9,14,30,1,,0.563636364,0.090909091,0.894736842,,PeruLambayeque,4,1,1,3,1,1,10,0,3,2,1,14,0,2,12,0,,,16,10,11,17,1
Peru,PeruLima,303,4,0.01320132,,7,,,PeruLima,55,30,52,41,78,47,29,31,9,8,60,,PeruLima,227,108,77,7,21,,PeruLima,11,86,246,97,,PeruLima,39,46,105,66,77,41,32,7,7,8,10,1,1,,PeruLima,194,244,1,1,,PeruLima,62,26,33,29,76,46,48,44,14,26,25,11,,PeruLima,58,379,3,,PeruLima,130,301,9,,PeruLima,11,427,2,,,,PeruLima,2,5,30,28,325,13,7,1,29,,PeruLima,21,128,181,88,22,,PeruLima,1,2,29,50,185,137,36,,0.395881007,0.065909091,0.746710526,,PeruLima,12,8,8,12,8,16,25,11,17,21,10,149,0,30,71,42,,,67,155,146,64,8
Peru,PeruLoreto,3161,1490,0.47136982,,7,,,PeruLoreto,8,2,7,3,9,3,2,0,0,4,2,,PeruLoreto,11,19,10,0,0,,PeruLoreto,0,3,27,10,,PeruLoreto,3,0,6,7,12,7,2,1,0,2,0,0,0,,PeruLoreto,12,27,0,1,,PeruLoreto,5,0,4,2,13,1,4,3,1,5,2,0,,PeruLoreto,14,26,0,,PeruLoreto,11,28,1,,PeruLoreto,3,37,0,,,,PeruLoreto,1,2,0,1,35,0,0,1,0,,PeruLoreto,3,13,16,6,2,,PeruLoreto,0,1,2,3,16,15,3,,0.461538462,0,0.523809524,,PeruLoreto,5,0,3,0,1,5,3,0,0,0,0,12,0,2,5,4,,,5,14,11,9,1
Peru,PeruPuno,91,2,0.021978022,,7,,,PeruPuno,12,4,3,5,8,1,2,2,0,0,8,,PeruPuno,12,14,6,1,12,,PeruPuno,9,17,17,2,,PeruPuno,0,6,9,4,8,3,3,2,0,0,9,0,1,,PeruPuno,16,28,1,0,,PeruPuno,5,4,4,1,5,5,0,4,4,3,10,0,,PeruPuno,8,36,1,,PeruPuno,20,24,1,,PeruPuno,4,40,1,,,,PeruPuno,0,0,12,18,13,0,1,1,0,,PeruPuno,0,13,19,12,1,,PeruPuno,2,0,2,4,24,9,4,,0.302325581,0,0.666666667,,PeruPuno,6,1,0,2,0,4,4,0,1,0,0,14,0,0,9,4,,,1,15,14,10,5
Venezuela,VenezuelaAnzoátegui,5074,1720,0.338983051,,8,,,VenezuelaAnzoátegui,11,1,5,5,16,4,1,2,1,1,4,,VenezuelaAnzoátegui,40,4,3,1,3,,VenezuelaAnzoátegui,0,11,33,7,,VenezuelaAnzoátegui,10,1,3,2,10,2,7,11,1,4,0,0,0,,VenezuelaAnzoátegui,32,17,0,2,,VenezuelaAnzoátegui,16,5,2,0,9,6,1,3,3,6,0,0,,VenezuelaAnzoátegui,8,43,0,,VenezuelaAnzoátegui,12,39,0,,VenezuelaAnzoátegui,0,51,0,,,,VenezuelaAnzoátegui,0,1,6,2,19,6,0,0,17,,VenezuelaAnzoátegui,2,16,20,12,1,,VenezuelaAnzoátegui,0,0,7,7,19,17,1,,0.352941176,0.333333333,0.930232558,,VenezuelaAnzoátegui,1,0,2,0,2,0,5,0,2,7,1,16,0,0,6,9,,,24,17,4,6,0
Venezuela,VenezuelaAragua,5632,1002,0.177911932,,8,,,VenezuelaAragua,16,6,15,17,10,1,2,0,1,0,3,,VenezuelaAragua,61,4,4,0,2,,VenezuelaAragua,1,9,51,10,,VenezuelaAragua,11,5,4,4,14,11,7,15,0,0,0,0,0,,VenezuelaAragua,40,28,0,3,,VenezuelaAragua,19,4,9,6,13,8,4,2,0,1,4,1,,VenezuelaAragua,5,66,0,,VenezuelaAragua,5,66,0,,VenezuelaAragua,1,70,0,,,,VenezuelaAragua,0,13,2,3,33,2,0,0,18,,VenezuelaAragua,4,13,25,28,1,,VenezuelaAragua,0,0,2,5,38,23,3,,0.366197183,0.253521127,0.938461538,,VenezuelaAragua,1,0,0,1,1,0,16,3,1,6,3,22,0,1,8,8,,,19,29,17,5,1
Venezuela,VenezuelaBolivar,1549,282,0.182052937,,8,,,VenezuelaBolivar,8,3,5,12,17,3,2,0,0,0,1,,VenezuelaBolivar,39,3,8,1,0,,VenezuelaBolivar,0,11,31,9,,VenezuelaBolivar,1,4,6,5,14,4,5,7,1,4,0,0,0,,VenezuelaBolivar,28,23,0,0,,VenezuelaBolivar,16,3,1,1,14,7,3,1,0,5,0,0,,VenezuelaBolivar,9,42,0,,VenezuelaBolivar,11,40,0,,VenezuelaBolivar,2,49,0,,,,VenezuelaBolivar,1,2,0,2,35,2,0,1,8,,VenezuelaBolivar,2,11,18,12,8,,VenezuelaBolivar,0,0,2,3,11,15,20,,0.68627451,0.156862745,0.829787234,,VenezuelaBolivar,1,0,0,1,1,0,10,1,1,5,2,10,0,0,10,9,,,20,15,14,2,0
Venezuela,VenezuelaCarabobo,5701,1874,0.328714261,,8,,,VenezuelaCarabobo,54,23,21,17,26,17,3,1,0,2,10,,VenezuelaCarabobo,131,14,23,2,4,,VenezuelaCarabobo,4,23,109,38,,VenezuelaCarabobo,17,10,14,16,30,19,12,32,12,6,3,3,0,,VenezuelaCarabobo,95,78,0,1,,VenezuelaCarabobo,81,6,10,11,35,5,10,6,1,2,6,1,,VenezuelaCarabobo,32,132,10,,VenezuelaCarabobo,21,143,10,,VenezuelaCarabobo,0,164,10,,,,VenezuelaCarabobo,0,8,3,3,82,18,2,1,57,,VenezuelaCarabobo,15,40,66,34,19,,VenezuelaCarabobo,1,2,14,11,64,66,16,,0.479532164,0.327586207,0.850649351,,VenezuelaCarabobo,6,0,0,4,1,6,19,7,3,13,6,55,0,0,23,31,,,70,57,23,24,0
Venezuela,VenezuelaLara,5063,965,0.190598459,,8,,,VenezuelaLara,28,9,9,5,26,30,6,2,1,0,4,,VenezuelaLara,103,7,5,1,4,,VenezuelaLara,0,10,95,15,,VenezuelaLara,18,1,6,7,18,20,17,16,7,5,4,1,0,,VenezuelaLara,65,55,0,0,,VenezuelaLara,24,8,8,6,17,6,7,10,6,14,9,5,,VenezuelaLara,13,107,0,,VenezuelaLara,4,116,0,,VenezuelaLara,2,118,0,,,,VenezuelaLara,1,1,10,3,54,13,1,0,37,,VenezuelaLara,5,27,41,41,6,,VenezuelaLara,1,0,10,15,44,37,13,,0.420168067,0.308333333,0.953703704,,VenezuelaLara,6,1,1,6,3,1,10,5,3,12,2,43,0,0,11,16,,,43,37,27,12,1
Venezuela,VenezuelaMérida,5413,1624,0.300018474,,8,,,VenezuelaMérida,11,3,7,4,2,2,2,2,0,1,4,,VenezuelaMérida,32,5,1,0,0,,VenezuelaMérida,2,9,17,10,,VenezuelaMérida,5,5,4,2,8,2,3,5,1,0,1,2,0,,VenezuelaMérida,19,15,0,4,,VenezuelaMérida,13,2,1,4,4,2,2,2,1,2,2,3,,VenezuelaMérida,1,37,0,,VenezuelaMérida,2,36,0,,VenezuelaMérida,0,38,0,,,,VenezuelaMérida,0,2,10,2,11,4,4,0,5,,VenezuelaMérida,2,6,15,15,0,,VenezuelaMérida,0,0,0,3,9,23,3,,0.684210526,0.131578947,0.96969697,,VenezuelaMérida,1,0,1,2,1,0,1,1,2,4,1,14,0,0,6,4,,,5,10,19,3,1
Venezuela,VenezuelaMiranda,8440,2448,0.290047393,,8,,,VenezuelaMiranda,72,18,23,14,44,16,5,2,0,2,8,,VenezuelaMiranda,154,17,31,1,1,,VenezuelaMiranda,1,38,129,36,,VenezuelaMiranda,16,7,15,19,41,30,15,29,16,14,1,1,0,,VenezuelaMiranda,104,98,1,1,,VenezuelaMiranda,82,15,11,12,31,11,11,5,5,10,8,3,,VenezuelaMiranda,29,175,0,,VenezuelaMiranda,38,166,0,,VenezuelaMiranda,1,203,0,,,,VenezuelaMiranda,2,19,8,7,83,23,3,1,58,,VenezuelaMiranda,7,47,75,70,5,,VenezuelaMiranda,1,0,21,31,53,66,32,,0.482758621,0.284313725,0.832432432,,VenezuelaMiranda,1,1,0,4,4,3,27,9,11,18,10,57,0,0,23,36,,,56,69,36,40,3
Venezuela,VenezuelaMonagas,5483,1086,0.198066752,,8,,,VenezuelaMonagas,14,0,1,0,1,0,0,0,0,0,4,,VenezuelaMonagas,15,1,3,0,1,,VenezuelaMonagas,0,1,14,5,,VenezuelaMonagas,6,0,4,1,2,2,1,3,1,0,0,0,0,,VenezuelaMonagas,17,3,0,0,,VenezuelaMonagas,6,1,1,0,1,2,3,1,1,4,0,0,,VenezuelaMonagas,3,17,0,,VenezuelaMonagas,1,19,0,,VenezuelaMonagas,0,20,0,,,,VenezuelaMonagas,0,3,2,0,2,3,1,0,9,,VenezuelaMonagas,0,10,10,0,0,,VenezuelaMonagas,0,1,2,1,7,6,3,,0.473684211,0.45,0.833333333,,VenezuelaMonagas,1,0,0,0,0,0,3,2,0,2,0,6,0,0,5,1,,,6,8,6,0,0
Venezuela,VenezuelaPortuguesa,3519,770,0.218812163,,8,,,VenezuelaPortuguesa,3,2,5,0,9,7,3,1,0,0,0,,VenezuelaPortuguesa,24,3,2,1,0,,VenezuelaPortuguesa,0,3,22,5,,VenezuelaPortuguesa,2,2,1,3,2,9,5,4,2,0,0,0,0,,VenezuelaPortuguesa,15,14,0,1,,VenezuelaPortuguesa,6,4,4,1,6,3,3,1,1,1,0,0,,VenezuelaPortuguesa,9,21,0,,VenezuelaPortuguesa,7,23,0,,VenezuelaPortuguesa,1,29,0,,,,VenezuelaPortuguesa,0,1,6,0,3,6,1,0,13,,VenezuelaPortuguesa,0,8,10,10,2,,VenezuelaPortuguesa,0,0,4,7,7,9,3,,0.4,0.433333333,0.923076923,,VenezuelaPortuguesa,3,0,0,0,2,0,3,4,0,0,2,7,0,0,4,5,,,7,13,5,5,0
Venezuela,VenezuelaSucre,7361,3943,0.535660916,,8,,,VenezuelaSucre,13,0,0,1,1,1,0,0,0,0,0,,VenezuelaSucre,14,1,0,1,0,,VenezuelaSucre,0,1,14,1,,VenezuelaSucre,2,2,3,2,4,3,0,0,0,0,0,0,0,,VenezuelaSucre,5,10,0,1,,VenezuelaSucre,3,0,1,0,6,1,1,2,1,0,0,1,,VenezuelaSucre,2,14,0,,VenezuelaSucre,0,16,0,,VenezuelaSucre,0,16,0,,,,VenezuelaSucre,0,1,0,0,4,1,0,0,10,,VenezuelaSucre,3,6,4,3,0,,VenezuelaSucre,0,0,0,4,7,4,1,,0.3125,0.625,1,,VenezuelaSucre,0,0,0,0,0,0,1,1,0,0,1,9,0,0,3,1,,,8,5,2,1,0
Venezuela,VenezuelaTáchira,975,231,0.236923077,,8,,,VenezuelaTáchira,22,3,7,5,18,2,2,0,0,0,3,,VenezuelaTáchira,55,5,2,0,0,,VenezuelaTáchira,1,16,39,6,,VenezuelaTáchira,4,0,4,8,5,8,13,9,6,4,1,0,0,,VenezuelaTáchira,34,28,0,0,,VenezuelaTáchira,16,10,3,8,7,2,5,5,2,2,2,0,,VenezuelaTáchira,2,59,1,,VenezuelaTáchira,0,62,0,,VenezuelaTáchira,0,62,0,,,,VenezuelaTáchira,0,0,22,1,22,2,1,0,14,,VenezuelaTáchira,3,13,20,24,2,,VenezuelaTáchira,0,0,2,2,25,30,3,,0.532258065,0.225806452,0.964912281,,VenezuelaTáchira,0,1,1,3,2,0,7,3,3,7,1,14,1,0,11,8,,,13,20,18,10,1
Venezuela,VenezuelaVargas,1278,538,0.420970266,,8,,,VenezuelaVargas,11,1,3,1,8,3,0,2,0,2,3,,VenezuelaVargas,28,3,1,1,1,,VenezuelaVargas,1,6,24,3,,VenezuelaVargas,1,1,3,2,10,5,5,4,1,1,0,1,0,,VenezuelaVargas,17,17,0,0,,VenezuelaVargas,10,5,1,3,5,2,4,1,0,3,0,0,,VenezuelaVargas,4,30,0,,VenezuelaVargas,2,32,0,,VenezuelaVargas,2,32,0,,,,VenezuelaVargas,0,6,4,1,10,3,0,0,10,,VenezuelaVargas,0,8,15,11,0,,VenezuelaVargas,0,0,0,4,7,16,7,,0.676470588,0.294117647,0.965517241,,VenezuelaVargas,2,0,0,0,0,0,8,1,1,2,3,8,1,0,2,6,,,15,6,3,9,1
Venezuela,VenezuelaZulia,10128,3392,0.334913112,,8,,,VenezuelaZulia,42,7,7,10,26,37,18,10,4,3,3,,VenezuelaZulia,148,11,8,0,0,,VenezuelaZulia,6,25,111,25,,VenezuelaZulia,15,5,9,23,35,25,18,16,8,9,1,3,0,,VenezuelaZulia,94,73,0,0,,VenezuelaZulia,56,11,19,16,19,13,6,10,2,6,6,3,,VenezuelaZulia,25,140,2,,VenezuelaZulia,11,153,3,,VenezuelaZulia,4,162,1,,,,VenezuelaZulia,0,20,12,4,66,7,4,0,54,,VenezuelaZulia,10,33,63,55,6,,VenezuelaZulia,0,0,7,29,82,36,13,,0.293413174,0.323353293,0.948717949,,VenezuelaZulia,1,0,0,1,2,3,35,3,6,10,6,61,0,0,17,22,,,66,51,36,14,0
