Country,District,sumTested,sumPositive,ratioPositive,,Nation,,,p94st,State -1,2,3,4,5,6,7,8,9,Market -10,DK,,p13st,Democracy,DoesntMatter,Authoritarian,NA,DK,,p89n.a,DK,Less,Same,More,,p67st,1-Unable,2,3,4,5,6,7,8,9,10-Able,DK,NA,None,,p72st.a,Yes,No,NA,DK,,p64wvsst,1-Never,2,3,4,5,6,7,8,9,10-Always,DK,NA,,s19j,No,Yes,NA,,s19l,No,Yes,NA,,s19n,No,Yes,NA,,,,s11,Asian,Black,DK,Indigenous,Mestizo,Mulato,NA,Other,White,,s26,Very Good,Good,OK,Bad,Very Bad,,s6,DK,NA,No Religion/NA,NotDevoteAtAll,NotVeryDevote,Devote,VeryDevote,,rel,pw,dem,,s15Ed,0y,1y,2y,3y,4y,5y,6y,7y,8y,9y,10y,11y,12y,TechInc,TechCompOrUniIncomp,UniComp,,26stf,Completely guaranteed,Fairly guaranteed,A Little guaranteed,Not guaranteed at all,Dontknow/No answer
Chile,ChileLosRios,2357,312,0.132371659,,3,,,ChileLosRios,0,0,1,4,5,2,0,0,0,0,15,,ChileLosRios,7,13,5,0,2,,ChileLosRios,14,13,0,0,,ChileLosRios,0,0,1,4,2,10,7,1,0,0,0,2,0,,ChileLosRios,5,21,0,1,,ChileLosRios,4,3,6,2,5,3,2,1,0,0,0,1,,ChileLosRios,2,25,0,,ChileLosRios,0,27,0,,ChileLosRios,0,26,1,,,,ChileLosRios,0,0,0,0,0,0,0,0,27,,ChileLosRios,0,3,13,11,0,,ChileLosRios,0,0,8,9,8,2,0,,0.074074074,1,0.583333333,,ChileLosRios,0,0,0,0,0,0,4,0,2,6,6,3,4,0,2,0,,,7,15,4,0,1
Chile,ChileMaule,68142,2460,0.036101083,,3,,,ChileMaule,8,0,9,7,17,11,1,3,0,2,2,,ChileMaule,27,18,9,3,3,,ChileMaule,1,34,20,5,,ChileMaule,0,0,3,6,20,7,16,3,3,1,0,1,0,,ChileMaule,28,32,0,0,,ChileMaule,14,1,4,2,13,5,7,7,1,6,0,0,,ChileMaule,0,60,0,,ChileMaule,6,54,0,,ChileMaule,0,60,0,,,,ChileMaule,0,0,5,1,17,0,0,2,35,,ChileMaule,3,21,33,2,1,,ChileMaule,0,0,16,1,22,18,3,,0.35,0.583333333,0.75,,ChileMaule,7,0,0,1,0,1,2,1,4,2,1,4,26,5,4,2,,,8,26,17,7,2
Colombia,ColombiaAntioquia,2513,421,0.16752885,,4,,,ColombiaAntioquia,24,11,15,16,29,9,8,9,1,7,7,,ColombiaAntioquia,79,27,16,1,13,,ColombiaAntioquia,1,32,73,30,,ColombiaAntioquia,3,1,5,17,24,21,21,27,5,10,2,0,0,,ColombiaAntioquia,25,111,0,0,,ColombiaAntioquia,29,9,6,7,41,8,9,8,4,10,4,1,,ColombiaAntioquia,5,131,0,,ColombiaAntioquia,10,126,0,,ColombiaAntioquia,0,136,0,,,,ColombiaAntioquia,0,9,23,1,59,5,0,4,35,,ColombiaAntioquia,24,60,43,3,6,,ColombiaAntioquia,0,0,5,8,35,67,21,,0.647058824,0.257352941,0.831578947,,ColombiaAntioquia,4,1,6,8,8,15,6,5,10,4,2,29,0,9,16,13,,,33,32,46,24,1
Colombia,ColombiaBolivar,499,199,0.398797595,,4,,,ColombiaBolivar,17,2,7,1,12,2,4,2,0,1,8,,ColombiaBolivar,27,11,5,1,12,,ColombiaBolivar,7,16,25,8,,ColombiaBolivar,2,2,7,7,8,8,4,10,1,2,4,1,0,,ColombiaBolivar,6,50,0,0,,ColombiaBolivar,21,2,0,3,19,3,0,1,2,2,1,2,,ColombiaBolivar,8,48,0,,ColombiaBolivar,26,30,0,,ColombiaBolivar,0,56,0,,,,ColombiaBolivar,0,6,13,2,28,0,0,0,7,,ColombiaBolivar,6,14,20,9,7,,ColombiaBolivar,0,0,1,2,19,26,8,,0.607142857,0.125,0.84375,,ColombiaBolivar,5,1,1,3,2,5,2,5,1,0,2,13,0,5,6,5,,,13,19,15,7,2
Colombia,ColombiaCauca,163,43,0.263803681,,4,,,ColombiaCauca,1,2,3,5,6,4,3,5,2,0,1,,ColombiaCauca,22,7,1,0,2,,ColombiaCauca,0,9,16,7,,ColombiaCauca,1,0,6,3,8,4,4,2,1,2,1,0,0,,ColombiaCauca,12,20,0,0,,ColombiaCauca,4,4,1,2,5,4,3,4,2,1,2,0,,ColombiaCauca,3,29,0,,ColombiaCauca,7,25,0,,ColombiaCauca,7,25,0,,,,ColombiaCauca,1,5,1,3,17,2,0,0,3,,ColombiaCauca,1,13,10,5,3,,ColombiaCauca,0,0,1,0,9,18,4,,0.6875,0.09375,0.956521739,,ColombiaCauca,3,2,3,3,2,4,1,1,0,0,0,3,0,1,4,5,,,9,9,9,5,0
Colombia,ColombiaCordoba,172,74,0.430232558,,4,,,ColombiaCordoba,13,2,8,4,15,8,6,3,2,2,1,,ColombiaCordoba,39,21,2,1,1,,ColombiaCordoba,1,9,36,18,,ColombiaCordoba,2,2,1,6,15,7,11,7,6,7,0,0,0,,ColombiaCordoba,11,53,0,0,,ColombiaCordoba,25,5,3,3,14,2,4,2,2,3,0,1,,ColombiaCordoba,22,42,0,,ColombiaCordoba,33,31,0,,ColombiaCordoba,0,64,0,,,,ColombiaCordoba,0,9,5,10,25,3,0,3,9,,ColombiaCordoba,4,22,20,14,4,,ColombiaCordoba,0,2,2,5,21,30,4,,0.548387097,0.140625,0.951219512,,ColombiaCordoba,4,0,3,5,1,5,3,1,7,4,1,15,0,2,8,5,,,20,20,14,9,1
Colombia,ColombiaCundinamarca,246,73,0.296747967,,4,,,ColombiaCundinamarca,35,8,19,19,60,28,22,7,3,5,2,,ColombiaCundinamarca,123,48,26,1,10,,ColombiaCundinamarca,0,53,122,33,,ColombiaCundinamarca,9,9,14,28,53,34,34,18,6,3,0,0,0,,ColombiaCundinamarca,79,129,0,0,,ColombiaCundinamarca,39,11,25,14,44,19,22,9,7,17,1,0,,ColombiaCundinamarca,5,203,0,,ColombiaCundinamarca,4,204,0,,ColombiaCundinamarca,5,203,0,,,,ColombiaCundinamarca,0,2,15,9,84,3,7,4,84,,ColombiaCundinamarca,59,100,41,8,0,,ColombiaCundinamarca,1,2,17,18,56,82,32,,0.556097561,0.403846154,0.825503356,,ColombiaCundinamarca,4,1,5,7,3,26,11,3,11,6,6,40,0,9,45,31,,,26,76,59,47,0
Colombia,ColombiaMagdalena,130,10,0.076923077,,4,,,ColombiaMagdalena,15,1,0,0,1,1,4,0,1,1,8,,ColombiaMagdalena,17,6,1,0,8,,ColombiaMagdalena,6,6,15,5,,ColombiaMagdalena,1,1,5,3,3,3,0,5,0,5,6,0,0,,ColombiaMagdalena,8,23,0,1,,ColombiaMagdalena,14,1,0,3,9,1,0,1,0,2,1,0,,ColombiaMagdalena,13,19,0,,ColombiaMagdalena,13,19,0,,ColombiaMagdalena,0,32,0,,,,ColombiaMagdalena,0,3,16,0,4,0,1,3,5,,ColombiaMagdalena,3,3,5,12,9,,ColombiaMagdalena,0,0,1,1,16,7,7,,0.4375,0.15625,0.944444444,,ColombiaMagdalena,0,0,1,0,5,7,0,1,4,2,0,4,0,1,5,2,,,7,4,12,8,1
Colombia,ColombiaNarino,211,60,0.28436019,,4,,,ColombiaNarino,13,4,3,6,9,5,3,2,2,0,1,,ColombiaNarino,28,12,4,0,4,,ColombiaNarino,0,8,26,14,,ColombiaNarino,1,2,3,7,10,12,10,1,1,1,0,0,0,,ColombiaNarino,9,39,0,0,,ColombiaNarino,14,1,5,5,6,7,5,1,1,3,0,0,,ColombiaNarino,8,40,0,,ColombiaNarino,14,34,0,,ColombiaNarino,1,47,0,,,,ColombiaNarino,0,9,0,1,16,3,0,2,17,,ColombiaNarino,1,15,20,12,0,,ColombiaNarino,0,0,4,1,18,20,5,,0.520833333,0.354166667,0.875,,ColombiaNarino,2,0,3,7,0,10,1,2,0,2,3,6,0,0,7,5,,,6,17,16,9,0
Colombia,ColombiaQuindio,627,13,0.020733652,,4,,,ColombiaQuindio,4,0,4,1,3,0,1,0,1,0,10,,ColombiaQuindio,14,3,2,0,5,,ColombiaQuindio,1,7,14,2,,ColombiaQuindio,1,1,1,4,5,3,6,1,0,2,0,0,0,,ColombiaQuindio,10,14,0,0,,ColombiaQuindio,7,0,0,0,9,0,1,3,2,0,2,0,,ColombiaQuindio,0,24,0,,ColombiaQuindio,0,24,0,,ColombiaQuindio,0,24,0,,,,ColombiaQuindio,0,0,4,0,9,1,1,0,9,,ColombiaQuindio,3,11,5,2,3,,ColombiaQuindio,0,0,1,0,12,7,4,,0.458333333,0.375,0.875,,ColombiaQuindio,2,0,2,1,2,3,2,1,0,0,1,7,0,1,1,1,,,1,11,5,6,1
